Country Name,Country Code,Indicator Name,Indicator Code,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年
赤道几内亚,GNQ,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,76.8,,,,,,,,,,,
希腊,GRC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
格林纳达,GRD,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
格陵兰,GRL,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
危地马拉,GTM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,51,,,,,,,,59.3,,,
关岛,GUM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
圭亚那,GUY,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
高收入国家,HIC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
中国香港特别行政区,HKG,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
洪都拉斯,HND,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,63.7,64.8,65.1,64.7,63.7,59.9,58.2,59.2,58.8,60,61.9,66.5,64.5,62.8,63.8,60.9,64.3
重债穷国 (HIPC),HPC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
克罗地亚,HRV,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,20.6,20.9,20.4,19.5,19.4,20,19.5,20,19.4
海地,HTI,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,58.5,,,,,
匈牙利,HUN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,13.5,15.9,12.3,12.4,12.4,12.3,14.1,14.3,15,15,14.9,,,
只有IBRD,IBD,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
IBRD与IDA,IBT,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
IDA總,IDA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
IDA混合,IDB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
印度尼西亚,IDN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,11.2,10.9,10.6
只有IDA,IDX,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
马恩岛,IMN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
印度,IND,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,37.2,,,,,29.8,,21.9,,,,,,
未分类国家,INX,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
爱尔兰,IRL,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
伊朗伊斯兰共和国,IRN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
伊拉克,IRQ,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,22.4,,,,,,18.9,,,,,
冰岛,ISL,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
以色列,ISR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
意大利,ITA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
牙买加,JAM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,16.9,19.7,19.1,16.9,14.8,14.3,9.9,12.3,16.5,17.6,,19.9,,,,,
约旦,JOR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,13.3,,14.4,,,,,,,
日本,JPN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
哈萨克斯坦,KAZ,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,46.7,44.5,37.5,33.9,31.6,18.2,12.7,12.1,8.2,6.5,5.5,3.8,2.9,2.8,2.7,2.5,2.5
肯尼亚,KEN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,46.8,,,,,,,,,,36.1,,
吉尔吉斯斯坦,KGZ,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,39.9,35,31.7,31.7,33.7,36.8,38,37,30.6,32.1,25.4,25.6
柬埔寨,KHM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,50.2,,,45,,34,23.9,22.1,20.5,17.7,,,,,
基里巴斯,KIR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,21.8,,,,,,,,,,,
圣基茨和尼维斯,KNA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
大韩民国,KOR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
科威特,KWT,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
拉丁美洲与加勒比海地区（不包括高收入）,LAC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
老挝,LAO,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,33.5,,,,,27.6,,,,,23.4,,,,,
黎巴嫩,LBN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,27.4,,,,,
利比里亚,LBR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,54.1,,50.9,
利比亚,LBY,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
圣卢西亚,LCA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,25,
拉丁美洲与加勒比海地区,LCN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
最不发达国家：联合国分类,LDC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
低收入国家,LIC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
列支敦士登,LIE,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
斯里兰卡,LKA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,22.7,,,,15.2,,,8.9,,,6.7,,,,4.1,
中低等收入国家,LMC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
中低收入国家,LMY,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
莱索托,LSO,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,49.7
後期人口紅利,LTE,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
立陶宛,LTU,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,20.5,20,19.1,20.9,20.3,20.5,19.2,18.6,20.6,19.1,22.2,,,
卢森堡,LUX,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
拉脱维亚,LVA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,19.4,23.5,21.2,25.9,26.4,20.9,19,19.2,19.4,21.2,22.5,,,
中国澳门特别行政区,MAC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
圣马丁（法属）,MAF,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
摩洛哥,MAR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,8.9,,,,,,4.8,,,,
摩纳哥,MCO,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
摩尔多瓦,MDA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,54.6,40.4,29,26.5,,30.2,25.8,26.4,26.3,21.9,17.5,16.6,12.7,11.4,9.6,,
马达加斯加,MDG,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,70.8,,,,73.2,,,,,71.7,,70.7,,,,,
马尔代夫,MDV,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,8.2,
中东与北非地区,MEA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
墨西哥,MEX,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,43.6,
马绍尔群岛,MHL,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
中等收入国家,MIC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
北马其顿,MKD,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,27,26.8,26.2,24.2,22.1,21.5,21.9,22.2
马里,MLI,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,50.9,,,,,41.7,,,41.1,,,,,,,,
马耳他,MLT,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
缅甸,MMR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,48.2,,,,,42.4,,,,,32.1,,
中东与北非地区（不包括高收入）,MNA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
黑山,MNE,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,25.2,24.1,24.4,24,,
蒙古,MNG,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,38.8,33.7,27.4,,21.6,,29.6,
北马里亚纳群岛,MNP,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
莫桑比克,MOZ,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,54.1,,,,,,54.7,,,,,,46.1,,,
毛里塔尼亚,MRT,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,46.7,,,,42,,,,,,31,,,
毛里求斯,MUS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,7.9,,,,,
马拉维,MWI,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,52.4,,,,,,50.7,,,,,,51.5,
马来西亚,MYS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,5.1,,5.7,,3.6,,3.8,,,1.7,,0.6,,0.4,,
北美,NAC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
纳米比亚,NAM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,37.7,,,,,,28.7,,,,,,17.4,,
新喀里多尼亚,NCL,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
尼日尔,NER,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,48.9,,,44.5,,,
尼日利亚,NGA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,48.4,,,,,,46,,,,,,,,
尼加拉瓜,NIC,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,45.8,,,,48.3,,,,42.5,,,,,29.6,,24.9,
荷兰,NLD,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
挪威,NOR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
尼泊尔,NPL,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,25.2,,,,,,,
瑙魯,NRU,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
新西兰,NZL,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
经合组织成员,OED,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
阿曼,OMN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
其他小国,OSS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
巴基斯坦,PAK,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,64.3,,,51.7,50.4,,44.1,,,36.8,36.3,,29.5,,24.3,,
